source_root_id,target_root_id,source_node_id,target_node_id,source_title,target_title,text_similarity,co_citation_similarity,structural_similarity,combined_similarity
root_01,root_13,"MORRIS MH, 2002, J MARKET THEORY PRAC","NARVER JC, 1990, J MARKETING",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,0.021307,0.465992,0.925259,0.357737
root_05,root_07,"MILLER D, 1983, MANAGE SCI","LUMPKIN GT, 1996, ACAD MANAGE REV",THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,0.018292,0.429097,0.99428,0.357271
root_01,root_14,"MORRIS MH, 2002, J MARKET THEORY PRAC","KOHLI AK, 1990, J MARKETING",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,"MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",0.145309,0.32004,0.890716,0.355546
root_02,root_12,"COLLINSON E, 2001, MANAGEMENT DECISION","BJERKE B, 2002, ENTREPRENEURIAL MARK",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,0.077096,0.399335,0.898101,0.354081
root_15,root_17,"HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP","HANSEN DJ, 2010, J RES MARK ENTREP",ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,THE MARKETING/ENTREPRENEURSHIP INTERFACE: A REPORT ON THE “CHARLESTON SUMMIT”,0.133933,0.318788,0.910327,0.353911
root_01,root_10,"MORRIS MH, 2002, J MARKET THEORY PRAC","CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,Marketing and entrepreneurship in SMEs : an innovative approach,0.156494,0.273954,0.937267,0.35376
root_15,root_18,"HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP","BECHERER RC, 2012, NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP",ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,THE EFFECT OF ENTREPRENEURIAL MARKETING ON OUTCOME GOALS IN SMES,0.088076,0.407795,0.833864,0.349136
root_01,root_09,"MORRIS MH, 2002, J MARKET THEORY PRAC","SARASVATHY SD, 2001, ACAD MANAGE REV",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,0.051425,0.395103,0.913208,0.344069
root_03,root_16,"STOKES D, 2000, J RES MARKETING ENTR","GILMORE A, 2011, J RES MARK ENTREP",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,ENTREPRENEURIAL AND SME MARKETING,0.26496,0.168645,0.822625,0.342783
root_03,root_15,"STOKES D, 2000, J RES MARKETING ENTR","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,0.256156,0.198653,0.780414,0.340881
root_02,root_15,"COLLINSON E, 2001, MANAGEMENT DECISION","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,0.172491,0.306719,0.773654,0.339703
root_01,root_04,"MORRIS MH, 2002, J MARKET THEORY PRAC","SHANE S, 2000, ACAD MANAGE REV",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,0.063868,0.319291,0.979495,0.336391
root_03,root_06,"STOKES D, 2000, J RES MARKETING ENTR","MATSUNO K, 2002, J MARKETING",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,0.095906,0.259645,0.986762,0.331386
root_01,root_05,"MORRIS MH, 2002, J MARKET THEORY PRAC","MILLER D, 1983, MANAGE SCI",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,0.035052,0.339182,0.979495,0.330386
root_03,root_11,"STOKES D, 2000, J RES MARKETING ENTR","READ S, 2009, J MARKETING",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,0.175571,0.212,0.880021,0.329211
